Feature,Importance
best_baseline_nmae,0.17825826
arima_da,0.16490056
arima_nmae,0.16157094
best_baseline_da,0.15494615
ets_nmae,0.08074122
domain_encoded,0.06265461
ets_da,0.0598276
context_word_count,0.043598402
context_char_length,0.043081537
avg_word_length,0.031526934
context_sentence_count,0.018893786
has_negation,0.0
context_length,0.0
mentions_physical,0.0
mentions_event,0.0
mentions_constraint,0.0
mean,0.0
has_causal,0.0
std,0.0
has_number,0.0
has_future_event,0.0
has_constraint,0.0
seed,0.0
volatility,0.0
trend,0.0
future_length,0.0
history_length,0.0
has_temporal,0.0
