Metric,ARIMA,ETS,Best Baseline,Llama 3B,Mistral 8x7B,GPT-4o ~20B
Mean NMAE,5.196832330392458,1.097403216214999,0.8496195326503678,26.653028869305505,0.8463444947665822,1.1651824022868453
Median NMAE,0.45125697101625306,0.5544216927975627,0.44044573095365647,0.6070946567233515,0.5531310560760004,0.7338078189586675
Std Dev NMAE,36.08806159937047,1.6303062594463626,1.37539739656389,221.06859174142897,1.0491590510851652,1.7281783046859795
Mean DA,0.5462526263599632,0.4340136171259378,0.6122026609427209,0.5586939996380293,0.0,0.5893123674110176
Median DA,0.6666666666666666,0.375,0.7083333333333334,0.6168478260869565,0.0,0.6666666666666666
Win Rate %,31.666666666666668,10.0,-,0.0,25.0,19.166666666666668
Win Count,38,12,-,0.0,30.0,23.0
Mean Improvement (NMAE),-,-,0,-25.803409336655143,0.0032750378837856143,-0.3155628696364773
% Beat Baseline,-,-,-,23.333333333333332,34.166666666666664,30.833333333333336
