feature,importance
context_word_count,0.08928728
event_count,0.07579115
numeric_mentions,0.07567327
volatility,0.07346481
ets_da,0.062272843
mean,0.060857087
std,0.058728863
arima_nmae,0.057933982
ets_nmae,0.055135034
context_sentence_count,0.054930545
future_length,0.053583197
history_length,0.0514632
arima_da,0.04766607
trend,0.04345501
context_length,0.040980943
has_causality,0.03996149
context_char_length,0.038291033
has_background,0.020524329
mentions_zero,0.0
has_scenario,0.0
has_events,0.0
has_constraints,0.0
constraint_count,0.0
